"airportIATACode";"airportName";"airportICAOCode"
"AIA";"Alliance";"KAIA"
"AIC";"Airok";""
"AID";"Municipal";"KAID"
"AIE";"Aiome";""
"AIF";"Assis";"SNAX"
"AIG";"Yalinga";"FEFY"
"AIH";"Aiambak";""
"AII";"Alisabieh";"HDAS"
"AIK";"Municipal";"KAIK"
"AIL";"Ailigandi";""
"AIM";"Ailuk Island";""
"AIN";"Wainwright";"PAWT"
"AIO";"Municipal";"KAIO"
"AIP";"Adampur Airport";"VIAX"
"AIR";"Aripuana";"SWRP"
"AIS";"Arorae Island";"NGTR"
"AIT";"Aitutaki";"NCAI"
"AIU";"Atiu Island";"NCAT"
"AIV";"George Downer";"KAIV"
"AIW";"Ai-ais";""
"AIZ";"Lee C Fine Memorial";"KAIZ"
"AJA";"CAMPO DELL ORO";"LFKJ"
"AJF";"Jouf";"OESK"
"AJI";"Agri";"LTCO"
"AJJ";"Akjoujt";"GQNJ"
"AJK";"Araak";"OIHR"
"AJL";"Aizawl";"VEAZ"
"AJN";"Ouani";"FMCV"
"AJR";"Arvidsjaur";"ESNX"
"AJS";"Abreojos";""
"AJU";"ARACAJU";"SBAR"
"AJY";"Agades";"DRZA"
"AKA";"Ankang";"ZLAK"
"AKB";"Atka";"PAAK"
"AKC";"Fulton International";"KAKR"
"AKD";"Akola";"VAAK"
"AKE";"Akieni";""
"AKF";"Kufrah";"HLKF"
"AKG";"Anguganak";""
"AKH";"Prince Sultan Air Base";"OEPS"
"AKI";"Akiak";"PFAK"
"AKJ";"Asahikawa";"RJEC"
"AKK";"Akhiok SPB";"PAKH"
"AKL";"AUCKLAND INT. AIRPORT";"NZAA"
"AKM";"Zakouma";""
"AKN";"King Salmon";"PAKN"
"AKO";"Colorado Plains Regional Airport";"KAKO"
"AKP";"Anaktuvuk";"PAKP"
"AKQ";"Gunung Batin";""
"AKR";"Akure";"DNAK"
"AKS";"Gwaunaru'u";"AGGA"
"AKT";"Raf Akrotiri";"LCRA"
"AKU";"Aksu";"ZWAK"
"AKV";"Akulivik";"CYKO"
"AKW";"Aghajari";"OIAG"
"AKX";"Aktyubinsk";"UATT"
"AKY";"Civil";"VYSW"
"ALA";"Almaty Airport";"UAAA"
"ALB";"ALBANY";"KALB"
"ALC";"ALICANTE";"LEAL"
"ALD";"Alerta";"SPAR"
"ALE";"Alpine";"KE38"
"ALF";"Alta";"ENAT"
"ALG";"HOUARI BOUMEDIENE";"DAAG"
"ALH";"Albany";"YABA"
"ALI";"International";"KALI"
"ALJ";"Kortdoorn";"FAAB"
"ALL";"Albenga";"LIMG"
"ALM";"Municipal";"KALM"
"ALN";"Alton";"KALN"
"ALO";"Waterloo";"KALO"
"ALP";"Nejrab";"OSAP"
"ALQ";"Federal";"SSLT"
"ALR";"Alexandra";"NZLX"
"ALS";"Municipal";"KALS"
"ALT";"Alenquer";""
"ALU";"Alula";"HCMA"
"ALW";"Walla Walla";"KALW"
"ALX";"Thomas C Russell Field";"ALX_"
"ALY";"El Nohza";"HEAX"
"AMA";"AMARILLO INTL";"KAMA"
"AMB";"Ambilobe";"FMNE"
"AMC";"Am Timan";"FTTN"
"AMD";"AHMEDABAD";"VAAH"
"AME";"Alto Molocue";""
"AMF";"Ama";""
"AMH";"Arba Mintch";"HAAM"
"AMI";"Selaparang Airport";"WADA"
"AMJ";"Almenara";"SNAR"
"AMK";"Animas Airpark";""
"AMM";"QUENN ALIA INTL";"OJAI"
"AMN";"Gratiot Community";"KAMN"
"AMO";"Mao";""
"AMP";"Ampanihy";"FMSY"
"AMQ";"Pattimura";"WAPP"
"AMS";"SCHIPHOL";"EHAM"
"AMT";"Amata";"YAMT"
"AMU";"Amanab";""
"AMV";"Amderma";"ULDD"
"AMW";"Ames";"KAMW"
"AMX";"Ammaroo";"YAMM"
"AMY";"Ambatomainty";""
"AMZ";"Ardmore";"NZAR"
"ANA";"John Wayne International";""
"ANB";"Anniston Metropolitan";"KANB"
"ANC";"ANCHORAGE INTL";"PANC"
"AND";"Anderson";"KAND"
"ANE";"Marce";"LFJR"
"ANF";"Antofagasta";"SCFA"
"ANG";"Brie-Champniers";"LFBU"
"ANI";"Aniak";"PANI"
"ANJ";"Zanaga";""
"ANK";"Etimesgut";"LTAD"
"ANL";"Andulo";""
"ANM";"Antsirabato";"FMNH"
"ANN";"Annette Island";"PANT"
"ANO";"Angoche";""
"ANP";"Lee";"KANP"
"ANQ";"Tri-State Steuben County";"KANQ"
"ANR";"Deurne/ Antwerp Airport";"EBAW"
"ANS";"Andahuaylas";"SPHY"
"ANU";"ANTIGUA";"TAPA"
"ANV";"Anvik";"PANV"
"ANW";"Ainsworth";"KANW"
"ANX";"Andøya Lufthavn, Andenes";"ENAN"
"ANY";"Anthony";"KANY"
"ANZ";"Angus Downs";""
"AOB";"Annanberg";""
"AOC";"Altenburg Nobitz";"EDAC"
"AOD";"Abou Deia";""
"AOE";"Anadolu University";"LTBY"
"AOG";"Anshan";"ZYAS"
"AOH";"Allen County";"KAOH"
"AOI";"ANCONA";"LIPY"
"AOJ";"AOMORI";"RJSA"
"AOK";"Karpathos";"LGKP"
"AOL";"Paso De Los Libres";"SARL"
"AOM";"Adam";""
"AOO";"Martinsburg";"KAOO"
"AOP";"Andoas";"SPAS"
"AOR";"Alor Setar";"WMKA"
"AOT";"Corrado Gex";"LIMW"
"AOU";"Attopeu";"VLAP"
"APA";"Arapahoe Co";"KAPA"
"APB";"Apolo";"SLAP"
"APC";"Napa County";"KAPC"
"APE";"San Juan Aposento";""
"APF";"Naples";"KAPF"
"APG";"Phillips AAF";"KAPG"
"APH";"Camp A P Hill";""
"API";"Apiay";"SKAP"
"APK";"Apataki";"NTGD"
"APL";"NAMPULA AIRPORT";"FQNP"
"APN";"Alpena County Regional";"KAPN"
"APO";"Apartado";"SKLC"
"APP";"Asapa";""
"APQ";"Arapiraca";"SNAL"
"APR";"April River";""
"APS";"Anapolis";"SBAN"
"APT";"Marion County";"KAPT"
"APU";"Apucarana";"SSAP"
"APV";"Apple Valley";"KAPV"
"APW";"FALEOLO";"NSFA"
"APX";"Arapongas";"SSOG"
"APY";"Alto Parnaiba";""
"APZ";"Zapala";"SAHZ"
"AQA";"Araraquara";"SBAQ"
"AQB";"Quiche Airport";"MGQC"
"AQG";"Anqing";"ZSAQ"
"AQI";"Qaisumah";"OEPA"
"AQJ";"AQABA";"OJAQ"
"AQM";"Ariquemes";"SWNI"
"AQP";"Rodriguez Ballon";"SPQU"
"AQY";"Alyeska";""
"ARA";"Acadiana Regional";"KARA"
"ARB";"Municipal";"KARB"
"ARC";"Arctic Village";"PARC"
"ARD";"Alor Island";"WATM"
"ARE";"Arecibo";"TJAB"
"ARF";"Acaricuara";""
"ARG";"Walnut Ridge";"KARG"
"ARH";"TALAGI";"ULAA"
"ARI";"Chacalluta";"SCAR"
"ARJ";"Arso";"WAJA"
"ARK";"Arusha";"HTAR"
"ARL";"Arly";"DFER"
"ARM";"Armidale";"YARM"
"ARN";"ARLANDA";"ESSA"
"ARO";"Arboletas";""
"ARP";"Aragip";""
"ARQ";"Arauquita";""
"ARR";"Alto Rio Senguerr";"SAVR"
"ARS";"Aragarcas";""
"ART";"Watertown";"KART"
"ARU";"Dario Guarita";"SBAU"
"ARV";"Noble F. Lee";"KARV"
"ARW";"Arad";"LRAR"
"ARY";"Ararat";"YARA"
"ARZ";"N'zeto";"FNZE"
"ASA";"Assab International";"HHSB"
"ASB";"ASHGABAD";"UTAA"
"ASC";"Ascension";"SLAS"
"ASD";"Andros Town";"MYAF"
"ASE";"ASPEN";"KASE"
"ASF";"ASTRAKHAN";"URWA"
"ASG";"Ashburton";"NZAS"
"ASH";"Boire Field";"KASH"
"ASI";"Wideawake Field";"FHAW"
"ASJ";"Amami";"RJKA"
"ASK";"Yamoussoukro";"DIYO"
"ASL";"Harrison County";"KASL"
"ASM";"ASMARA";"HHAS"
"ASN";"Talladega";"KASN"
"ASO";"Asosa";"HASO"
"ASP";"Alice Springs";"YBAS"
"ASQ";"Austin";"KTMT"
"ASR";"KAYSERI";"LTAU"
"AST";"Astoria";"KAST"
"ASU";"Silvio Pettirossi";"SGAS"
"ASV";"Amboseli";"HKAM"
"ASW";"ASWAN-DARAW AIRPORT";"HESN"
"ASX";"Ashland";"KASX"
"ASY";"Ashley";""
"ASZ";"Asirim";""
"ATA";"Anta";"SPHZ"
"ATB";"Atbara";"HSAT"
"ATC";"Arthur's Town";"MYCA"
"ATD";"Atoifi";"AGAT"
"ATE";"Antlers";""
"ATF";"Chachoan";"SEAM"
"ATG";"Attock";"OPMS"
"ATH";"Eleftherios Venizelos";"LGAV"
"ATI";"Artigas";"SUAG"
"ATJ";"Antsirabe";"FMME"
"ATK";"Atqasuk";"PATQ"
"ATL";"ATLANTA";"KATL"
"ATM";"Altamira Airport";"SBHT"
"ATN";"Namatanai";""
"ATO";"Ohio University";"KUNI"
"ATP";"Airstrip";"AYAI"
"ATQ";"RAJA SANSI";"VIAR"
"ATR";"Mouakchott";"GQPA"
"ATS";"Artesia";"KATS"
"ATT";"Atmautluak";"KATT"
"ATV";"Ati";""
"ATW";"OUTAGAMIE CTY";"KATW"
"ATX";"Atbasar";""
"ATY";"Watertown";"KATY"
"ATZ";"Assiut";"HEAT"
"AUA";"REINA BEATRIX";"TNCA"
"AUC";"Arauca";"SKUC"
"AUD";"Augustus Downs";"YAGD"
"AUE";"Abu Rudeis";""
"AUF";"Auxerre Branches";"LFLA"
"AUG";"Augusta";"KAUG"
"AUH";"ABU DHABI";"OMAD"
"AUI";"Aua Island";""
"AUJ";"Ambunti";""
"AUK";"Alakanuk";"PAUK"
"AUL";"Aur Island";""
"AUM";"Austin";"KAUM"
"AUN";"Auburn";"KAUN"
"AUO";"Auburn-Opelika";"KAUO"
"AUP";"Agaun";""
"AUQ";"Atuona";"NTMN"
"AUR";"Aurillac";"LFLW"
"AUS";"AUSTIN-BERGSTROM INT.";"KAUS"
"AUT";"Atauro";"WPAT"
"AUU";"Aurukun Mission";"YAUR"
"AUV";"Aumo";""
"AUW";"Municipal";"KAUW"
"AUX";"Araguaina";"SWGN"
"AUY";"Aneityum";"NVVA"
"AUZ";"Municipal Airport";"KARR"
"AVA";"An Shun/Huang Guo Shu";"ZUAS"
"AVB";"Aviano";"LIPA"
"AVG";"Auvergne";"YAUV"
"AVI";"Maximo Gomez";"MUCA"
"AVK";"Arvaikheer";"ZMAH"
"AVL";"ASHEVILLE REGIONAL APT";"KAVL"
"AVN";"Avignon-Caumont";"LFMV"
"AVO";"Municipal";"KAVO"
"AVP";"SCRANTON INTL";"KAVP"
"AVR";"Alverca Air Base";"LPAR"
"AVU";"Avu Avu";""
"AVV";"Avalon";"YMAV"
"AVW";"Avra Valley";"KAVQ"
"AVX";"Avalon Bay";"KAVX"
"AWA";"Awassa";"HALA"
"AWB";"Awaba";""
"AWD";"Aniwa";"NVVB"
"AWE";"Alowe";""
"AWK";"Wake Island";"PWAK"
"AWM";"Municipal";"KAWM"
"AWN";"Alton Downs";""
"AWP";"Austral Downs";"YAUS"
"AWZ";"Ahwaz";"OIAW"
"AXA";"Wallblake";"TQPF"
"AXB";"Alexandria Bay";""
"AXC";"Aramac";"YAMC"
"AXD";"DIMOKRITOS";"LGAL"
"AXE";"Xanxere";""
"AXG";"Algona";"KAXA"
"AXJ";"Amakusa Airport";"RJDA"
"AXK";"Ataq";"ODAT"
"AXL";"Alexandria";"YALX"
"AXM";"El Eden";"SKAR"
"AXN";"Alexandria";"KAXN"
"AXP";"Springpoint Airport";"MYAP"
"AXR";"Arutua";"NTGU"
"AXS";"Municipal";"KAXS"
"AXT";"AKITA";"RJSK"
"AXU";"Axum";"HAAX"
"AXV";"Neil Armstrong";"KAXV"
"AXX";"Angel Fire";""
"AYA";"Ayapel";""
"AYC";"Ayacucho";""
"AYD";"Alroy Downs";""
"AYG";"Yaguara";"SKYA"
"AYI";"Yari";""
"AYK";"Arkalyk";"UAUR"
"AYL";"Anthony Lagoon";""
"AYN";"Anyang";"ZHAY"
"AYO";"Ayolas";"SGAY"
"AYP";"Yanamilla";"SPHO"
"AYQ";"AYERS ROCK AIRPORT/CONNELLAN";"YAYE"
"AYR";"Ayr";"YAYR"
"AYS";"Ware County";"KAYS"
"AYT";"ANTALYA";"LTAI"
"AYU";"Aiyura";"AYAY"
"AYW";"Ayawasi";""
"AZA";"Williams Gateway";"KIWA"
"AZB";"Amazon Bay";""
"AZD";"Yazd";"OIYY"
"AZG";"Apatzingan";""
"AZI";"Bateen";"OMAD"
"AZL";"Fazenda Tucunare";""
"AZN";"Andizhan";"UTKA"
"AZO";"Kalamazoo/Battle Creek International";"KAZO"
"AZP";"Atizapan";""
"AZR";"Adrar";"DAUA"
"AZS";"Samaná El Catey International";"MDZY"
"AZT";"Zapatoca";""
"AZZ";"Ambriz";"FNAM"
"BAA";"Bialla";""
"BAB";"Beale AFB";"KBAB"
"BAC";"Barranca De Upia";""
"BAD";"Barksdale AFB";"KBAD"
"BAE";"Barcelonnette";"LFMR"
"BAF";"Barnes";"KBAF"
"BAG";"Loakan";"RPUB"
"BAH";"BAHRAIN";"OBBI"
"BAI";"Buenos Aires";"MRBA"
"BAJ";"Bali";""
"BAL";"Batman";"LTCJ"
"BAM";"Lander County";"BAMB"
"BAN";"Basongo";"FZVR"
"BAO";"Udorn";""
"BAQ";"E CORTISSOZ";"SKBQ"
"BAR";"Baker AAF";"ZJQH"
"BAS";"Balalae";"AGGE"
"BAT";"Airport Chafei Amsei";"SNBA"
"BAU";"Bauru";"SBBU"
"BAV";"BAOTOU";"ZBOW"
"BAX";"BARNAUL";"UNBB"
"BAY";"Baia Mare";"LRBM"
"BAZ";"Barbelos";"SWBC"
"BBA";"Teniente Vidal";"SCBA"
"BBB";"bbbbb";"KBBB"
"BBC";"Bay City";"KBYY"
"BBD";"Curtis Field";"KBBD"
"BBG";"Butaritari";"NGTU"
"BBH";"Barth";"EDBH"
"BBI";"Bhubaneswar";"VEBS"
"BBJ";"Bitburg Air Base";"EDAB"
"BBK";"KASANE";"FBKE"
"BBL";"Ballera Airport";"YLLE"
"BBM";"Battambang";"VDBG"
