	flight_date	flight_number	tail_number	aircraft_type_code	aircraft_model	size_code	origin_airport	scheduled_departure_date	off_block_date	take_off_date	destination_airport	landing_date	on_block_date	scheduled_arrival_date	service_type	aircraft_owner_code	registered_delay_date	delay_minutes	delay_code	delay_sub_code	origin_air_temperature	origin_wind_direction	origin_wind_speed	origin_visibility	origin_wind_gust	origin_cloud_coverage_lvl_1	origin_cloud_coverage_lvl_2	origin_cloud_coverage_lvl_3	origin_cloud_height_lvl_1	origin_cloud_height_lvl_2	origin_cloud_height_lvl_3	origin_ice_accretion_1h	origin_ice_accretion_3h	origin_ice_accretion_6h	origin_peak_wind_gust	origin_peak_wind_direction	destination_air_temperature	destination_wind_direction	destination_wind_speed	destination_visibility	destination_wind_gust	destination_cloud_coverage_lvl_1	destination_cloud_coverage_lvl_2	destination_cloud_coverage_lvl_3	destination_cloud_height_lvl_1	destination_cloud_height_lvl_2	destination_cloud_height_lvl_3	destination_ice_accretion_1h	destination_ice_accretion_3h	destination_ice_accretion_6h	destination_peak_wind_gust	destination_peak_wind_direction
410000	2015-10-31 00:00:00	541.0	CSTNI	320	AIRBUS A320-211	NB	DUS	2015-10-31 13:00:00	2015-10-31 13:03:00	2015-10-31 13:14:00	LIS	2015-10-31 15:52:00	2015-10-31 15:56:00	2015-10-31 16:05:00	J	TP	2015-11-04 10:30:59	3.0	1.0	0	13.0	150.0	13.0	6.21		M	M	M									16.0	210.0	11.0	6.21		SCT	M	M	3600.0							
410001	2015-10-31 00:00:00	662.0	CSTTS	319	AIRBUS A319-111	NB	LIS	2015-10-31 13:00:00	2015-10-31 13:04:00	2015-10-31 13:12:00	AMS	2015-10-31 15:40:00	2015-10-31 15:54:00	2015-10-31 16:00:00	J	TP	2015-10-31 13:20:59	4.0	81.0	0	18.0	230.0	9.0	6.21		SCT	M	M	3600.0								12.0	140.0	6.0	4.97		NSC	M	M								
410002	2015-10-31 00:00:00	342.0	CSTTQ	319	AIRBUS A319-111	NB	LIS	2015-10-31 13:05:00	2015-10-31 13:04:00	2015-10-31 13:15:00	LGW	2015-10-31 15:16:00	2015-10-31 15:25:00	2015-10-31 15:40:00	J	TP					18.0	230.0	9.0	6.21		SCT	M	M	3600.0								15.0	180.0	3.0	6.21		M	M	M								
410003	2015-10-31 00:00:00	609.0	CSTPE	100	FOKKER 100		BRU	2015-10-31 13:05:00	2015-10-31 12:59:00	2015-10-31 13:08:00	OPO	2015-10-31 15:17:00	2015-10-31 15:20:00	2015-10-31 15:40:00	J	NI					16.0	130.0	6.0	6.21		M	M	M									16.0	190.0	5.0	6.21		FEW	BKN	M	2500.0	4800.0						
410004	2015-10-31 00:00:00	804.0	CSTJF	321	AIRBUS A321-211	NB	LIS	2015-10-31 13:25:00	2015-10-31 13:43:00	2015-10-31 13:54:00	MXP	2015-10-31 16:23:00	2015-10-31 16:28:00	2015-10-31 16:05:00	J	TP	2015-10-31 13:57:59	18.0	42.0	C	18.0	220.0	9.0	6.21		SCT	M	M	3800.0								12.0		1.0	6.21		M	M	M								
410005	2015-10-31 00:00:00	926.0	CSTNS	320	AIRBUS A320-211	NB	LIS	2015-10-31 13:25:00	2015-10-31 13:23:00	2015-10-31 13:32:00	ZRH	2015-10-31 15:57:00	2015-10-31 16:03:00	2015-10-31 16:15:00	J	TP					18.0	220.0	9.0	6.21		SCT	M	M	3800.0								10.0	30.0	4.0	6.21		BKN	M	M	1100.0							
410006	2015-10-31 00:00:00	1015.0	CSTPD	100	FOKKER 100		MAD	2015-10-31 13:25:00	2015-10-31 13:40:00	2015-10-31 13:56:00	LIS	2015-10-31 14:59:00	2015-10-31 15:04:00	2015-10-31 14:45:00	J	NI	2015-10-31 13:58:53	6.0	36.0	0	19.0	360.0	7.0	6.21		BKN	M	M	4000.0								17.0	210.0	11.0	6.21		FEW	M	M	3400.0							
410007	2015-10-31 00:00:00	488.0	CSTPK	ER4	EMBRAER RJ145		LIS	2015-10-31 13:30:00	2015-10-31 13:45:00	2015-10-31 14:02:00	NCE	2015-10-31 16:19:00	2015-10-31 16:22:00	2015-10-31 16:05:00	J	NI	2015-10-31 14:01:59	15.0	67.0	0	18.0	220.0	9.0	6.21		SCT	M	M	3800.0								21.0	70.0	17.0	6.21		M	M	M								
410008	2015-10-31 00:00:00	1303.0	CSTTU	319	AIRBUS A319-111	NB	PRG	2015-10-31 13:30:00	2015-10-31 13:29:00	2015-10-31 13:41:00	LIS	2015-10-31 16:34:00	2015-10-31 16:36:00	2015-10-31 17:00:00	J	TP					16.0	110.0	15.0	6.21		M	M	M									16.0	210.0	10.0	6.21		FEW	M	M	3600.0							
410009	2015-10-31 00:00:00	453.0	CSTPH	ER4	EMBRAER RJ145		ORY	2015-10-31 13:35:00	2015-10-31 13:30:00	2015-10-31 13:40:00	OPO	2015-10-31 15:37:00	2015-10-31 15:40:00	2015-10-31 15:45:00	J	NI					18.0		1.0	6.21		M	M	M									16.0	190.0	5.0	6.21		FEW	BKN	M	2500.0	4800.0						
