	flight_date	flight_number	tail_number	aircraft_type_code	aircraft_model	size_code	origin_airport	scheduled_departure_date	off_block_date	take_off_date	destination_airport	landing_date	on_block_date	scheduled_arrival_date	service_type	aircraft_owner_code	registered_delay_date	delay_minutes	delay_code	delay_sub_code	origin_air_temperature	origin_wind_direction	origin_wind_speed	origin_visibility	origin_wind_gust	origin_cloud_coverage_lvl_1	origin_cloud_coverage_lvl_2	origin_cloud_coverage_lvl_3	origin_cloud_height_lvl_1	origin_cloud_height_lvl_2	origin_cloud_height_lvl_3	origin_ice_accretion_1h	origin_ice_accretion_3h	origin_ice_accretion_6h	origin_peak_wind_gust	origin_peak_wind_direction	destination_air_temperature	destination_wind_direction	destination_wind_speed	destination_visibility	destination_wind_gust	destination_cloud_coverage_lvl_1	destination_cloud_coverage_lvl_2	destination_cloud_coverage_lvl_3	destination_cloud_height_lvl_1	destination_cloud_height_lvl_2	destination_cloud_height_lvl_3	destination_ice_accretion_1h	destination_ice_accretion_3h	destination_ice_accretion_6h	destination_peak_wind_gust	destination_peak_wind_direction
225000	2016-07-19 00:00:00	288.0	CSTOC	343	AIRBUS A340-312	WB	LAD	2016-07-19 07:35:00	2016-07-19 07:32:00	2016-07-19 07:40:00	LIS	2016-07-19 15:10:00	2016-07-19 15:13:00	2016-07-19 15:20:00	J	TP					23.0	120.0	4.0	3.11		SCT	M	M	2000.0								31.0	230.0	7.0	6.21		M	M	M								
225001	2016-07-19 00:00:00	404.0	CSTPE	100	FOKKER 100		LIS	2016-07-19 07:40:00	2016-07-19 07:50:00	2016-07-19 08:07:00	MRS	2016-07-19 10:03:00	2016-07-19 10:05:00	2016-07-19 10:00:00	J	NI	2016-07-19 09:22:59	10.0	81.0	0	21.0	0.0	0.0	6.21		M	M	M									29.0	290.0	5.0	6.21		M	M	M								
225002	2016-07-19 00:00:00	542.0	CSTTE	319	AIRBUS A319-111	NB	LIS	2016-07-19 07:40:00	2016-07-19 07:44:00	2016-07-19 08:04:00	DUS	2016-07-19 10:28:00	2016-07-19 10:33:00	2016-07-19 10:35:00	J	TP	2016-07-19 23:49:59	4.0	89.0	0	20.0	10.0	3.0	6.21		M	M	M									28.0	90.0	4.0	6.21		M	M	M								
225003	2016-07-19 00:00:00	694.0	CSTTU	319	AIRBUS A319-111	NB	LIS	2016-07-19 07:40:00	2016-07-19 07:40:00	2016-07-19 07:56:00	LUX	2016-07-19 10:08:00	2016-07-19 10:11:00	2016-07-19 10:20:00	J	TP					20.0	10.0	3.0	6.21		M	M	M									27.0	100.0	5.0	6.21		M	M	M								
225004	2016-07-19 00:00:00	412.0	CSTPW	E90	EMBRAER 190	PGA	LIS	2016-07-19 07:45:00	2016-07-19 07:54:00	2016-07-19 08:12:00	NTE	2016-07-19 09:40:00	2016-07-19 09:45:00	2016-07-19 09:40:00	J	NI	2016-07-19 08:23:59	9.0	32.0	A	21.0	0.0	0.0	6.21		M	M	M									31.0	130.0	10.0	6.21		M	M	M								
225005	2016-07-19 00:00:00	1011.0	CSTTL	319	AIRBUS A319-111	NB	MAD	2016-07-19 07:45:00	2016-07-19 07:44:00	2016-07-19 07:59:00	LIS	2016-07-19 08:52:00	2016-07-19 08:55:00	2016-07-19 09:00:00	J	TP					25.0	130.0	4.0	6.21		M	M	M									23.0	70.0	4.0	6.21		M	M	M								
225006	2016-07-19 00:00:00	1671.0	CSTNK	320	AIRBUS A320-211	NB	LIS	2016-07-19 07:45:00	2016-07-19 07:56:00	2016-07-19 08:17:00	FNC	2016-07-19 09:49:00	2016-07-19 09:52:00	2016-07-19 09:30:00	J	TP	2016-07-19 08:25:59	11.0	86.0	A	21.0	0.0	0.0	6.21		M	M	M									24.0	190.0	6.0	6.21		FEW	M	M	1500.0							
225007	2016-07-19 00:00:00	334.0	CSTPR	E90	EMBRAER 190	PGA	OPO	2016-07-19 07:50:00	2016-07-19 07:52:00	2016-07-19 08:04:00	LGW	2016-07-19 09:41:00	2016-07-19 09:46:00	2016-07-19 10:00:00	J	NI	2016-07-19 08:13:04	2.0	1.0	0	17.0		2.0	4.35		BKN	M	M	600.0								28.0	150.0	7.0	6.21		M	M	M								
225008	2016-07-19 00:00:00	488.0	CSTPF	100	FOKKER 100		LIS	2016-07-19 07:55:00	2016-07-19 08:02:00	2016-07-19 08:20:00	NCE	2016-07-19 10:27:00	2016-07-19 10:31:00	2016-07-19 10:20:00	J	NI	2016-07-19 08:21:59	7.0	89.0	0	21.0	0.0	0.0	6.21		M	M	M									25.0	180.0	7.0	6.21		FEW	M	M	5000.0							
225009	2016-07-19 00:00:00	558.0	CSTNT	320	AIRBUS A320-211	NB	LIS	2016-07-19 07:55:00	2016-07-19 08:05:00	2016-07-19 08:22:00	MUC	2016-07-19 10:59:00	2016-07-19 11:05:00	2016-07-19 10:55:00	J	TP	2016-07-19 08:50:59	8.0	53.0	B	21.0	0.0	0.0	6.21		M	M	M									26.0		3.0	6.21		M	M	M								
225010	2016-07-19 00:00:00	832.0	CSTTF	319	AIRBUS A319-111	NB	LIS	2016-07-19 08:00:00	2016-07-19 07:53:00	2016-07-19 08:15:00	FCO	2016-07-19 10:43:00	2016-07-19 10:54:00	2016-07-19 10:50:00	J	TP					21.0	0.0	0.0	6.21		M	M	M									28.0	290.0	12.0	6.21		M	M	M								
